symbol,price,ret_5d,ret_20d,vol_20d,score,alpha_label
TDY,655.0700073242188,0.0003,-0.00961550794791377,0.85,-0.0494,➖ NEUTRAL
LIN,488.4100036621094,0.0,0.04821404232607329,1.09,-0.05,➖ NEUTRAL
IRM,107.29499816894531,0.0,0.07059466036786133,1.19,-0.0501,➖ NEUTRAL
ALB,163.74000549316406,-0.0012,-0.06663619489639883,3.41,-0.0523,➖ NEUTRAL
ABT,110.87999725341797,-0.0014000000000000002,-0.023857726664691103,1.17,-0.0529,➖ NEUTRAL
REGN,763.4299926757812,-0.002,-0.01877047000504417,1.71,-0.0539,➖ NEUTRAL
FMC,14.260000228881836,-0.0021,-0.1115264232564872,2.86,-0.0542,➖ NEUTRAL
MCD,326.739990234375,-0.0022,0.016568949621680762,0.8,-0.0543,➖ NEUTRAL
WMT,122.95999908447266,-0.0028000000000000004,-0.04511924357550734,1.13,-0.0557,➖ NEUTRAL
UNH,285.25,-0.0045000000000000005,0.03068238543519275,1.44,-0.059,➖ NEUTRAL
KLAC,1422.239990234375,-0.005,-0.03745319032782968,2.57,-0.06,➖ NEUTRAL
EA,199.64500427246094,-0.005600000000000001,-0.011897242240137662,0.38,-0.0611,➖ NEUTRAL
ETR,104.8499984741211,-0.006,0.04640720227048356,0.68,-0.0619,➖ NEUTRAL
XLU,46.599998474121094,-0.0064,0.045077333811503584,0.67,-0.0628,➖ NEUTRAL
AZO,3717.768310546875,-0.006500000000000001,-0.004840072978495313,1.95,-0.063,➖ NEUTRAL
DGX,202.47000122070312,-0.0074,-0.0327250423458354,1.08,-0.0648,➖ NEUTRAL
SRE,93.2300033569336,-0.0076,0.02248303405238583,0.64,-0.0651,➖ NEUTRAL
ISRG,492.8699951171875,-0.0077,-0.006550834540003381,1.03,-0.0654,➖ NEUTRAL
EVRG,81.55999755859375,-0.0079,0.037039753265561526,0.72,-0.0657,➖ NEUTRAL
PODD,238.82000732421875,-0.0088,-0.047956940349176524,1.19,-0.0676,➖ NEUTRAL
MO,66.33999633789062,-0.0096,0.006371331623355125,0.75,-0.0691,➖ NEUTRAL
FSLR,199.26499938964844,0.038900000000000004,-0.12503295607574028,2.38,-0.0722,➖ NEUTRAL
COR,355.2601013183594,-0.011200000000000002,-0.026884560332437912,1.02,-0.0724,➖ NEUTRAL
CINF,164.4199981689453,-0.0115,0.0058729439352009916,1.01,-0.0731,➖ NEUTRAL
TER,301.989990234375,-0.011699999999999999,-0.06014547427302752,3.3,-0.0735,➖ NEUTRAL
AEE,109.3499984741211,-0.0118,0.03841537345240842,0.59,-0.0736,➖ NEUTRAL
GOOG,304.5400085449219,0.0128,-0.02112045156991349,1.01,-0.0744,➖ NEUTRAL
LH,272.4200134277344,-0.0127,-0.05790590878192514,1.22,-0.0754,➖ NEUTRAL
TRV,301.5899963378906,-0.0129,0.01223345332638881,0.53,-0.0758,➖ NEUTRAL
CHTR,226.94009399414062,-0.013000000000000001,-0.058613319371059625,1.71,-0.0761,➖ NEUTRAL
ZBH,94.54000091552734,0.011699999999999999,-0.011191294718058686,1.32,-0.0767,➖ NEUTRAL
BRK-B,493.57000732421875,-0.013600000000000001,-0.012899447684433962,0.98,-0.0773,➖ NEUTRAL
CPAY,327.7300109863281,0.0105,-0.05447037062733384,2.06,-0.079,➖ NEUTRAL
CVS,77.5,-0.0151,0.006232191351008165,1.76,-0.0802,➖ NEUTRAL
L,108.32499694824219,-0.0152,-0.01618001034099359,0.56,-0.0805,➖ NEUTRAL
CB,327.0400085449219,-0.0163,-0.0061688963871350255,0.89,-0.0826,➖ NEUTRAL
ELV,294.30499267578125,0.0336,-0.10334836711688677,2.45,-0.0827,➖ NEUTRAL
XLC,116.48999786376953,-0.0165,-0.002141511089384651,0.47,-0.0829,➖ NEUTRAL
XEL,81.0,-0.0168,0.03952774516725044,0.56,-0.0835,➖ NEUTRAL
KO,77.62999725341797,0.0078000000000000005,-0.012340982691271929,0.7,-0.0844,➖ NEUTRAL
CMS,75.83999633789062,-0.0176,0.025329205404677868,0.52,-0.0852,➖ NEUTRAL
FCX,61.540000915527344,-0.0179,-0.05988387142943219,2.1,-0.0857,➖ NEUTRAL
DOC,17.094999313354492,-0.0181,0.014314955965864629,0.83,-0.0862,➖ NEUTRAL
STT,122.83000183105469,-0.018500000000000003,-0.06671224632306783,1.82,-0.0869,➖ NEUTRAL
FRT,106.6449966430664,-0.018600000000000002,-0.0028518028413164753,0.71,-0.0873,➖ NEUTRAL
TJX,157.8800048828125,-0.019,0.050257828624280965,0.85,-0.0879,➖ NEUTRAL
KMX,42.27000045776367,0.0052,-0.07707421043886098,1.38,-0.0895,➖ NEUTRAL
PSA,300.8399963378906,-0.0199,0.023822488725975255,0.97,-0.0897,➖ NEUTRAL
MKTX,180.75,-0.02,0.015532053393989331,1.34,-0.09,➖ NEUTRAL
GD,353.4150085449219,-0.0202,0.02042793867829462,1.09,-0.0904,➖ NEUTRAL
STZ,147.9499969482422,0.0044,-0.09344362919832916,1.32,-0.0912,➖ NEUTRAL
META,646.8499755859375,-0.0208,-0.03266091428872897,1.17,-0.0915,➖ NEUTRAL
CDNS,293.44000244140625,-0.0213,-0.020724150113693662,1.74,-0.0927,➖ NEUTRAL
DPZ,393.9200134277344,-0.0218,0.0258333683013916,1.73,-0.0936,➖ NEUTRAL
ABBV,227.27999877929688,-0.0218,0.028928423230137,1.0,-0.0936,➖ NEUTRAL
JBL,253.0,0.0031,-0.030643747045413394,2.23,-0.0937,➖ NEUTRAL
WST,238.96499633789062,-0.022000000000000002,-0.029228986095137355,1.35,-0.0941,➖ NEUTRAL
EIX,71.41500091552734,0.0027,0.06494189554851104,0.86,-0.0945,➖ NEUTRAL
C,109.19000244140625,0.0022,-0.06985260235860669,1.85,-0.0956,➖ NEUTRAL
GILD,145.375,0.0016,-0.06691272687776872,1.39,-0.0968,➖ NEUTRAL
ESS,252.1649932861328,-0.0235,-0.03536593950676192,0.84,-0.097,➖ NEUTRAL
MRK,116.20999908447266,0.0012,-0.025982721796626196,1.3,-0.0976,➖ NEUTRAL
CSCO,78.0999984741211,-0.0239,-0.08697688054450003,1.29,-0.0977,➖ NEUTRAL
ALL,206.5449981689453,-0.024,0.013970193644231133,0.77,-0.098,➖ NEUTRAL
WEC,113.30000305175781,-0.024,0.009943316384264156,0.62,-0.0981,➖ NEUTRAL
AMT,182.6649932861328,-0.0265,0.012106591369230424,1.23,-0.103,➖ NEUTRAL
ULTA,652.6500244140625,-0.0015,-0.044506205873940274,1.14,-0.103,➖ NEUTRAL
WTW,292.5249938964844,-0.026600000000000002,0.04439643586410913,1.37,-0.1032,➖ NEUTRAL
SNPS,430.2699890136719,-0.027200000000000002,-0.018119172534248773,2.05,-0.1044,➖ NEUTRAL
CCI,87.61000061035156,-0.0277,0.017892423852534867,1.07,-0.1055,➖ NEUTRAL
ETN,352.60009765625,-0.0031,-0.10702223370883635,1.6,-0.1061,➖ NEUTRAL
ARKK,71.91000366210938,-0.0281,0.014674768946266292,2.05,-0.1062,➖ NEUTRAL
YUM,158.0399932861328,-0.0037,-0.001833402995065736,1.01,-0.1073,➖ NEUTRAL
GE,325.1499938964844,-0.0042,0.0379104426141883,1.29,-0.1084,➖ NEUTRAL
PG,153.32000732421875,-0.0044,-0.04174995422363281,1.28,-0.1087,➖ NEUTRAL
IBM,248.8699951171875,-0.029900000000000003,-0.08775339120870906,2.44,-0.1099,➖ NEUTRAL
